text,label
"Creamy Indian Butter Fish Recipe - Creamy Pabda Fish is a popular choice in West Bengal and must be one of the best known of Bengali Cuisine. The english name for the Pabda fish is Indian Butter Fish. A delicious and spicy recipe ideal for mid week family meals or weekend lunches. This freshwater fish is full of protein and is my favourite as it is really wonderful with rich buttery taste. It is quickly cooked therefore it is best to make it during busy days. Available throughout the year in all fresh fish market of Kolkata specially during Monsoon time. One can imagine the burst of flavourful spices with pairing of buttery taste of Pabda fish and creamy gravy on steaming boiled rice. Serve  along with   and   for a weekday meal. If you like this recipe, you can also try other   such asIndian butter fish|Mustard oil|Turmeric powder (Haldi)|Kashmiri Red Chilli Powder|Dry Red Chillies|Green Chillies|Water|Coriander (Dhania) Leaves|Fresh cream|Salt",1
"Vegetarian Kabuli Pulao Recipe - Rice Layered With Chickpea Curry is a traditional dish from the Kabul region of Afghanistan. It is usually cooked with meat. However, here we have replaced the meat with the healthy chickpeas for a vegetarian twist, with . The long grain basmati rice is cooked with the whole garam masala, chickpeas are cooked with cinnamon and many other spices and then layered alternately. Lastly, it is finished with the fried onions and mint leaves to give it a distinctive flavour. It makes for a whole meal, to be served along with salad for lazy brunches over the weekend. Serve the  (Rice Layered with Chickpea Curry), along with   and  and for a weekend meal. If you like this recipe, you can try more   that you can make for your everyday meals or pack in your Lunch Box:Basmati rice|Kabuli Chana (White Chickpeas)|Onions|Mint Leaves (Pudina)|Bay leaf (tej patta)|Cinnamon Stick (Dalchini)|Cloves (Laung)|Cardamom (Elaichi) Pods/Seeds|Black cardamom (Badi Elaichi)|Salt|Onions|Tomatoes|Paprika powder|Coriander Powder (Dhania)|Cinnamon Powder (Dalchini)|Cumin powder (Jeera)|Salt",1
"People are so constituted that everybody would rather undertake what they see others do, whether they have an aptitude for it or not.",0
"Prawn Balchao RecipeGoa is a total bliss when it comes to sea food lovers. Most restaurants get their fresh catch every day, which gets showcased right at their entrance. Customers are free to pick and choose from the display, that later gets served at their dinner table. One such dish which I always relish at my favourite restaurant in Goa is the Prawn Balchao. My colleagues love the prawn masala used in this one as the dish is a mixture of sweet, spice and sourness. The unique ingredient that makes the prawn even more delectable is the Goan Toddy Vinegar - one can get this in the Saturday Mapusa Market. Its like the Mecca for all the spices, fresh smoked sausages and pastes that the Goans use in their day to day cooking. There are many variations to this dish, some make it like a semi gravy similar to how this recipe does while others pickle the prawn. But the taste pretty much remains the same no matter the type of preparation, although the later one is more tangier due to the pickling process. Serve hot Prawn Balchao with   or simple rice of your choice with a nice tall glass of chilled beer. If you like this recipe, you can also try Prawns|Onions|Tomatoes|Curry leaves|Dry Red Chillies|Whole Black Peppercorns|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Mustard seeds (Rai/ Kadugu)|Cinnamon Stick (Dalchini)|Cloves (Laung)|Sugar|Vinegar|Salt|Oil",1
Sabakki Upittu Recipe (South Indian Style Sabudana Khichdi)Give this refreshingly lemony south Indian sabudana khichdi a try and it will not be the last time you will be making it. This is a perfect recipe for weekend breakfast or you can also have it for light dinner. Serve Sabakki Upittu for breakfast with a hot cup of  or with with   for a light dinner. You can also try other Sabudana recipes such as Yellow Moong Dal (Split)|Nylon sabakki|Buttermilk|Onions|Green peas (Matar)|Green Chillies|Dry Red Chillies|Sunflower Oil|Curry leaves|Mustard seeds|Asafoetida (hing)|Chana dal (Bengal Gram Dal)|Black Urad Dal (Split)|Lemon juice|Cashew nuts|Coriander (Dhania) Leaves|Fresh coconut,1
"Baked Cheesy Broccoli Pasta Recipe is a delicious version of Italian pasta that makes a yummy weeknight dinner and a great lunch box for kids. If you love pasta, then this broccoli pasta is a must try. Kids normally dont like broccoli, but there are many ways by which you can make them eat it. Making this pasta is one way of making kids eat broccoli. :Broccoli is avegetable that is packed with essential nutrients, it is high levels of fiber, it has a rich source of vitamin-C, vitamin A, iron, vitamin K, B-complex vitamins, zinc, phosphorus and phytonutrients. Research says that phytonutrients are compounds which lower the risk of developing diabetes, heart disease and certain cancers. Serve    along with a  and glass of wine for a perfect weeknight dinner with your partner or even pack into a lunchbox for kids. If you like pasta recipes, then you must try some of our favorites like : Penne pasta|Broccoli|Garlic|Black pepper powder|Italian seasoning|Red Chilli flakes|Mozzarella cheese|Extra Virgin Olive Oil|Salt|Whole Wheat Flour|Milk|Fresh cream|Salt and Pepper|Nutmeg",1
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",0
"Saffron Paneer Peda RecipeThis  is a simple, delicious and melt in mouth dessert with grainy texture. It is prepared with minimal ingredients and has an authentic Indian flavour that is rich as it is made with paneer and ghee. You can serve it for some special occasions and festivals. In this recipe, Peda is made of Paneer and is flavoured with saffron which enhances the taste of Peda. Serve  as a dessert after your meal or serve it with some snacks like   to guests when they visit your home during festivals. If you like this recipe, you can als try other Peda recipes such as Sugar|Cardamom Powder (Elaichi)|Saffron strands|Water|Rose water",1
"Spicy Mexican Layered Chilli Rice Recipe is a lovely rice preparation of rice tossed in butter and herbs and layered with the classic rajma mexican chilli. A dish out of the box that your family will appreciate as a weekend meal, paired with other mexican delicacies. Serve as a main course for a Mexican meal along with and as an appetizer or with yet another main dish of . Make a as a dessert to finish of the meal.Rajma (Large Kidney Beans)|Garlic|Cumin powder (Jeera)|Red Chilli powder|Extra Virgin Olive Oil|Salt|Cooked rice|Butter (Salted)|Garlic|Mixed Herbs (Dried)|Red Chilli flakes|Salt|Coriander (Dhania) Leaves",1
"Roasted Carrot Tomato Soup Recipe is a quick and easy soup that can be served either cold for the summers or hot during the winters. The sweetness from the carrots and the red ripe tomatoes with a little tang, brings out refreshing flavours. Milk and fresh cream is added to the roasted carrots to make the soup creamy and delicious. Cumin powder adds a nice earthy flavour to the soup as well. Pepper is added to balance out the sweetness and add some heat to the soup. This makes a perfect baby and child friendly food and is a good way to include vegetables in the diet. You can adjust the pepper in the soup or avoid it completely when serving the soup to your kids. ServeRoasted Carrot Tomato Soup recipe with or for a light dinner. If you like this recipe, try more recipes likeCarrots (Gajjar)|Tomatoes|Milk|Cumin powder (Jeera)|Salt and Pepper|Fresh cream|Coriander (Dhania) Leaves",1
"Tawa Tandoori Roti Recipe Tawa Tandoori Roti Recipe is a very essential accompaniment to most of the Indian dishes. Tandoori Roti is a type of Indian bread that is made from whole wheat flour. It is traditionally cooked inside a tandoori clay oven and thus the name. The clay oven helps to give a charred flat surface over one side and a toasted black spots on the other. But in this recipe we have used just a plain cast iron tawa to create the similar texture to the bread. Serve the Tawa Tandoori Roti along with  ,   and raita to create a meal for your Sunday lunch or everyday lunch. If you are looking for more Tandoori Recipes here are some :Whole Wheat Flour|Salt|Sunflower Oil",1
"Aloo Gobi Matar Ki Sabzi RecipeAloo Gobhi Matar Ki Sabzi Recipe is made of potatoes, cauliflower and green peas mixed with spices. This is a wholesome dish that is perfect when served with hot  ,  , or  rice for lunch or dinner. The veggie Aloo Gobhi Matar Ki Sabzi Recipe is very simple to make and requires very basic ingredients. This sabzi is great also for kids lunch boxes with plain parathas since potatoes, cauliflower and green peas is a good combination. Check out our other vegetable sabzi recipes as wellCauliflower (gobi)|Potato (Aloo)|Green peas (Matar)|Red Chilli powder|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Onion|Ginger|Methi Leaves (Fenugreek Leaves)|Coriander (Dhania) Leaves|Oil|Salt",1
"    - Moringa Masoor Dal Recipe                 .          .                  .     ,           .      ,       , |  |||| ||  | |  | |||  ",1
Listen to your intuition. It will tell you everything you need to know.,0
"If you get up one more time than you fall, you will make it through.",0
"Goan Style Caldinho de Abobora Branca Recipe (Mild Curry of white Pumpkin)Goan Style Caldinho de Abobora Branca Recipe (Mild Curry of white Pumpkin) has mild flavors cooked along with white pumpkin. The Goan cuisine is famous for its seafood and spicy flavor that are ground with whole spices. The cuisine also has slight influence with Portuguese as well. The curry is made from a ground coconut, peppercorns, cumin seeds, ginger and garlic. Sometimes seafood is added to this curry but we have made a vegetarian recipe with white pumpkin. You can use other gourds or pumpkin as well if you like. White Pumpkin is type of gourd that helps in lowering cholesterol. Serve the Goan Style Caldinho de Abobora Branca Recipe along with  and to make a complete meal. If you are looking for more Pumpkin recipes here are some :Vellai Poosanikai (Ash gourd/White Pumpkin)|Onion|Salt|Lemon juice|Coriander (Dhania) Leaves|Oil|Fresh coconut|Cumin seeds (Jeera)|Ginger|Garlic|Turmeric powder (Haldi)",1
"Chammanthi Chutney Recipe (Coconut And Onion Chutney)Idli Chammanthi Chutney ( Fresh Coconut and Onion Chutney) is a traditional Kerala dish served with Idli Dosa. In this recipe, we are using fresh coconut and it is called as Pachcha tenga in Malayalam. The coconut gives you a sweet taste to the Chammanthi Chutney. The spices use in the chutney gives a new flavour to the idly or dosa with which we eat. Serve Chammanthi Chutney with   or Dosa. This can be served as breakfast or packed for kids lunch box as well. Try out other chutney recipes, here are few of them.Fresh coconut|Ginger|Onion|Curry leaves|Asafoetida (hing)|Mustard seeds|Dry Red Chilli|Sunflower Oil|Salt",1
Life is 10% what happens to you and 90% how you react to it.,0
The day you decide to do it is your lucky day.,0
"Practice yourself, for heavens sake in little things, and then proceed to greater.",0
"Chocolate Flan Cake RecipeChocolate flan cake is a fusion bake with two different textures and taste variations dancing on your taste buds. This flan cake recipe can be paired with ice cream too for a more enticing taste treat. Making this cake is relatively simple than it looks. Try out this flan cake recipe when you have a gathering at home and this is sure to be an instant hit among the crowd. Serve Chocolate Flan Cake Recipe after a dinner of a   and lemon broken rice. If you like this recipe, try more recipes likeVivatta Maida|Sugar|Cocoa Powder|Baking powder|Baking soda|Salt|Whole Eggs|Milk|Sunflower Oil|Vanilla Extract|Hot water|Britannia Cream Cheese|Whole Eggs|Condensed Milk|Evaporated milk|Vanilla Extract",1
"Easy Creamy Chicken Curry Recipe is a North Indian Style Chicken recipe which is flavoured with cream, black pepper and dried methi. It is an one pot chicken curry recipe which you can make for your everyday dinners or when you have sudden guests at home. This creamy chicken is a perfect recipe to satisfy your taste buds during the weekday. So give it a try and let us know how you liked it! Serve  along with  ,   and   for an everyday meal with your family. If you like this recipe, you can also try other   such asChicken|Lemon juice|Salt|Ginger|Garlic|Black pepper powder|Kasuri Methi (Dried Fenugreek Leaves)|Fresh cream|Sunflower Oil",1
"   - Bhel Puri Recipe             .       , , ,  ,  ,        .         .                           || ||| ||| | || |  |  || ",1
"Paneer Bhurji Gravy Recipe is one of those recipes which can be cooked during house parties or you have sudden guest at your home for lunch or dinner. The use of spices brings a flavour in the gravy and it tastes great along with Tandoori Roti or Phulkas. Paneer Bhurji Gravy is tomato onion based gravy recipe in which everyday Indian spices are used. Paneer is high protein and gives you calcium. Serve   along with   and   for a delicious lunch or dinner on a weekday. If you like this recipe, you can also try other   which you can make for your Party Dinners: Sunflower Oil|Cumin seeds (Jeera)|Mustard seeds|Asafoetida (hing)|Bay leaves (tej patta)|Star anise|Dry Red Chilli|Cloves (Laung)|Black cardamom (Badi Elaichi)|Cardamom (Elaichi) Pods/Seeds|Onion|Ginger|Garlic|Tomato|Coriander (Dhania) Leaves|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Salt|Water",1
Our lives are a sum total of the choices we have made.,0
Cheesy Spaghetti Verdi Pasta Recipe With Roasted GarlicThe   is a quick and easy pasta that you can make with a simple set of ingredients. This recipe is a classic favorite in every home that is made from a creamy sauce packed with the goodness of roasted garlic and spinach. The sauce is made creamy with the addition of Britannia Roasted Garlic cheese spread. Serve the  If you like Pasta recipes you must try some of our other favorites like:Garlic|Spinach Leaves (Palak)|Britannia Cheese Spread - Roasted Garlic|Milk|Red Chilli flakes|Extra Virgin Olive Oil|Salt|Black pepper powder,1
Compassion and happiness are not a sign of weakness but a sign of strength.,0
Do more than dream: work.,0
"Hesaru Bele Southekayi Kosambari Recipe - Cucumber Kosambari is common to every Kannadiga family's kitchen. Made with fresh cucumber, yellow moong dal and grated coconut this dish has freshness and health written all over it. Lemon Juice is added and give a slight tangy note to the kosambari. A tempering of curry leaves, hing and green chillies lifts this dish up giving it a nice South Indian flavour. This kosambari gives a very festive feel as it is compulsorily made during the festivals. One can also have it as an evening snack accompanied with filter coffee. A healthy dish to feed your family when they are back home after a tiring day. Serve  along with hot  during your tea time break or even along with a festive meal of , , and . If you like this recipe, you can also try other   for your everyday meals:Cucumbers|Yellow Moong Dal (Split)|Lemon|Fresh coconut|Coriander (Dhania) Leaves|Salt|Coconut Oil|Mustard seeds|Asafoetida (hing)|Green Chillies|Curry leaves",1
"Goan Sweet Khatkhati Recipe (Coconut Candy)Goan Sweet Khatkhati is a simple and quick sweet, or you can say coconut candy, prepared by melting Jaggery (Panela) and adding in, fresh or dry shredded coconut, roasted sesame seeds and some crushed peanuts or cashew nuts. The jaggery used in Goa(India) for such type of dessert is called chiki god, which is a sticky kind of jaggery available in India. You can store the prepared Khatkhati pieces in an airtight container and finish it within 2 weeks. Sometimes if you overheat the jaggery after it melts, Khatkhati becomes very hard after cooling down. But dont worry about it, you can microwave them for 15-20 seconds just before eating. I enjoy the hard type of Khatkhati, so I cooked my jaggery a bit longer. Serve Goan Sweet Khatkhati on its own on special occasions to your friends and family. If you like this recipe, you can also try other similar sweet recipes such as Fresh coconut|Sesame seeds (Til seeds)|Raw Peanuts (Moongphali)|Jaggery|Cardamom Powder (Elaichi)",1
"Chap Badami Recipe (Lamb Ribs Cooked In Almond Paste)Now don't get scared by the huge list of ingredients this chaamp requires, trust me they are all part of anyone's kitchen and nothing fancy about it. But yes, this is an Awadh dish (as the book mentions & I ain't no expert) hence the elaborate affair in how its done. The twice cooked lamb, with 2 hours of marination in multiple spices and almond paste. Truly makes this dish Royale and finger licking good with a mellowed yet lingering rich taste. So what are you waiting for, cook up this Royal affair right now! Serve Chap Badami along with   or   for a weekend meal. If you like this recipe, you can also try other Lamb Recipes such asLamb|White vinegar|Raw papaya|Red Chilli powder|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Whole Black Peppercorns|Nutmeg|Badam (Almond)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Bay leaves (tej patta)|Garlic|Ginger|Onion|Red Chilli powder|Kewra essence|Salt|Coriander (Dhania) Leaves",1
Learn to listen. Opportunity could be knocking at your door very softly.,0
